SP ID,Work Experience/Designation,Education/Qualifications,Education/Specialization
591951.0,['Assistant Manager'],['Bachelor of Arts (B.A.)'],['NA']
591939.0,['NA'],['Master of Commerce (M.Com)'],['Commerce']
591844.0,"['Scientific Employee', 'Project Engineer']",['Master of Science (M.Sc)'],['Computer Science']
591810.0,['NA'],"['HSC/12', 'Bachelor of Arts (B.A.)']","['NA', 'Economics, Computer Science']"
591751.0,['NA'],['Bachelor of Technology (B.Tech)'],['Computer science and engineering']
591698.0,['Associate Consultant'],"['Master of Business Administration (M.B.A.)', 'Bachelor of Business Management (B.B.M)']","['Finance and Marketing', 'International Business']"
591364.0,['Operation executive'],['Master of Business Administration (M.B.A.)'],['Finance']
591346.0,"['business head', 'Business Head', 'OPerations Head', 'Hospital Administrator']","['Master of Business Administration (M.B.A.)', 'Bachelor of Business Administration (B.B.A.)']","['Operations and Marketing', 'Operations and Marketing']"
591116.0,['NA'],['Other'],['Psychology']
591081.0,"['Analyst & Trading', 'Digital Marketing', 'Web Developer / App designing (ios/ andriod)']",['Bachelor of Engineering (B.E.)'],['Computer Engineering']
591080.0,"['Fundraising Associate', 'Senior Analyst']",['Bachelor of Commerce (B.Com)'],['Commerce']
590912.0,['Junior engineer'],['NA'],['NA']
